speed,power
0.000,0.000
0.005,0.000
0.008,0.000
0.013,0.000
0.018,0.000
0.020,0.000
0.023,0.000
0.030,0.000
0.033,0.000
0.038,0.000
0.048,0.000
0.053,0.000
0.058,0.000
0.063,0.000
0.070,0.000
0.073,0.000
0.075,0.000
0.083,0.000
0.093,0.000
0.105,0.000
0.108,0.000
0.110,0.000
0.115,0.000
0.120,0.000
0.125,0.000
0.128,0.000
0.130,0.000
0.140,0.000
0.148,0.000
0.150,0.000
0.155,0.000
0.163,0.000
0.165,0.000
0.168,0.000
0.170,0.000
0.175,0.000
0.183,0.000
0.185,0.000
0.188,0.000
0.193,0.000
0.200,0.000
0.210,0.000
0.213,0.000
0.215,0.000
0.220,0.000
0.225,0.000
0.228,0.000
0.230,0.000
0.235,0.000
0.243,0.000
0.248,0.000
0.253,0.000
0.258,0.000
0.270,0.000
0.275,0.000
0.278,0.000
0.285,0.000
0.295,0.000
0.298,0.000
0.300,10.535
0.305,4.008
0.308,4.825
0.310,3.163
0.315,1.247
0.320,0.000
0.325,0.262
0.335,5.164
0.343,3.761
0.345,4.268
0.348,0.244
0.353,4.486
0.355,9.483
0.368,2.074
0.370,0.000
0.375,3.514
0.378,0.000
0.383,5.316
0.385,6.873
0.388,7.912
0.390,5.600
0.393,0.000
0.408,0.468
0.413,0.000
0.420,0.000
0.423,0.690
0.425,0.000
0.428,2.990
0.430,4.561
0.445,0.000
0.453,0.000
0.455,0.000
0.458,2.658
0.460,3.129
0.468,3.818
0.475,2.953
0.480,1.091
0.485,3.687
0.488,3.029
0.500,2.067
0.518,0.000
0.523,0.000
0.528,1.152
0.538,1.630
0.543,0.000
0.548,0.113
0.555,0.000
0.560,0.000
0.573,0.537
0.583,0.000
0.585,5.040
0.588,7.564
0.598,1.686
0.600,3.755
0.610,6.357
0.613,7.469
0.618,4.617
0.620,0.690
0.628,0.564
0.633,4.072
0.640,0.421
0.645,0.328
0.648,0.000
0.650,0.000
0.663,0.000
0.665,5.107
0.670,3.276
0.673,0.000
0.680,4.229
0.685,0.000
0.688,0.031
0.690,11.605
0.695,0.179
0.698,0.000
0.700,6.575
0.705,1.200
0.710,3.978
0.713,4.005
0.718,0.000
0.723,4.685
0.730,0.000
0.735,3.324
0.738,0.000
0.740,4.922
0.748,5.089
0.755,0.000
0.758,0.000
0.760,1.975
0.765,0.000
0.768,0.000
0.773,8.570
0.775,6.422
0.790,1.854
0.793,4.390
0.800,0.000
0.808,0.000
0.813,4.434
0.815,3.228
0.818,0.000
0.825,0.000
0.828,2.787
0.838,0.495
0.840,4.281
0.843,0.288
0.858,0.000
0.860,2.302
0.863,10.247
0.868,9.891
0.873,0.000
0.883,1.739
0.888,2.514
0.890,10.166
0.895,0.000
0.900,6.222
0.903,0.000
0.905,0.000
0.908,2.550
0.913,0.471
0.915,0.000
0.933,5.018
0.935,1.710
0.938,4.565
0.945,0.000
0.948,0.006
0.953,3.764
0.958,3.066
0.960,0.000
0.963,2.696
0.968,2.053
0.970,4.368
0.973,10.789
0.975,0.000
0.978,0.975
0.980,3.955
0.990,1.486
0.995,0.325
0.998,0.376
1.010,7.406
1.018,0.000
1.020,3.882
1.023,0.000
1.035,0.091
1.038,2.661
1.043,4.954
1.050,0.000
1.070,0.000
1.075,7.070
1.080,4.244
1.083,0.000
1.088,3.482
1.090,0.951
1.093,1.445
1.095,0.852
1.105,3.195
1.108,6.912
1.110,5.632
1.118,1.054
1.125,3.361
1.130,4.956
1.133,2.801
1.135,4.032
1.138,0.000
1.140,0.000
1.145,0.338
1.148,4.122
1.153,8.676
1.155,4.255
1.158,3.005
1.165,8.558
1.175,16.329
1.180,9.021
1.185,1.772
1.193,1.166
1.195,0.000
1.200,4.477
1.205,0.000
1.208,3.047
1.215,4.673
1.218,0.000
1.223,1.636
1.225,3.927
1.228,0.000
1.230,6.153
1.233,0.000
1.235,0.000
1.238,0.258
1.245,3.263
1.248,3.040
1.260,0.331
1.263,1.345
1.270,3.058
1.280,0.000
1.288,0.000
1.305,0.048
1.310,3.106
1.320,0.000
1.325,2.740
1.330,0.032
1.335,6.246
1.338,2.671
1.340,0.317
1.345,1.063
1.348,1.355
1.353,0.374
1.355,0.000
1.360,0.000
1.363,5.058
1.365,1.467
1.370,1.765
1.375,0.000
1.378,4.600
1.393,5.188
1.395,0.000
1.398,0.035
1.400,0.000
1.405,3.785
1.408,0.000
1.410,0.000
1.420,2.799
1.423,1.915
1.425,0.000
1.428,0.000
1.430,0.000
1.433,0.000
1.440,0.233
1.448,15.046
1.450,7.515
1.460,1.506
1.463,0.000
1.468,4.662
1.470,0.000
1.478,0.000
1.483,3.476
1.493,7.312
1.498,1.097
1.500,7.323
1.508,0.000
1.510,0.000
1.513,0.000
1.518,0.000
1.523,0.000
1.525,4.011
1.530,0.000
1.548,5.131
1.555,6.540
1.563,0.000
1.568,8.606
1.570,7.888
1.573,0.421
1.575,1.284
1.578,0.000
1.583,10.992
1.588,0.000
1.590,2.899
1.598,7.752
1.603,4.545
1.613,0.000
1.615,3.366
1.618,1.671
1.620,6.813
1.633,0.000
1.638,0.000
1.643,2.139
1.650,0.000
1.655,9.786
1.658,4.376
1.663,2.647
1.665,0.412
1.673,0.000
1.675,2.203
1.680,1.996
1.683,0.512
1.688,0.000
1.705,11.991
1.718,2.318
1.723,3.410
1.725,4.496
1.730,8.678
1.733,5.334
1.735,4.934
1.738,6.911
1.740,3.822
1.743,2.918
1.748,2.378
1.750,3.912
1.755,2.496
1.758,9.390
1.760,4.610
1.763,0.000
1.773,7.406
1.775,3.685
1.778,0.000
1.780,10.232
1.790,0.000
1.795,6.396
1.800,0.000
1.803,4.312
1.810,5.867
1.823,7.243
1.825,0.000
1.830,0.000
1.840,0.000
1.845,0.050
1.850,0.000
1.863,4.330
1.865,4.668
1.870,4.750
1.875,0.000
1.878,0.000
1.883,6.766
1.885,4.725
1.888,0.000
1.893,0.000
1.905,5.835
1.925,5.676
1.928,5.870
1.933,8.411
1.938,12.103
1.940,6.204
1.943,0.000
1.945,4.165
1.950,1.946
1.953,0.609
1.955,0.000
1.963,0.000
1.968,8.253
1.973,0.984
1.978,9.056
1.980,0.000
1.983,3.758
1.993,0.702
2.003,5.021
2.015,1.820
2.033,0.000
2.038,7.935
2.045,0.000
2.050,5.346
2.053,0.000
2.058,2.882
2.060,0.000
2.063,4.591
2.070,0.864
2.078,1.269
2.083,6.662
2.085,0.000
2.088,1.912
2.095,0.000
2.098,4.640
2.105,0.000
2.108,4.860
2.115,0.000
2.125,2.957
2.130,5.303
2.138,0.798
2.140,2.865
2.143,4.533
2.145,7.558
2.148,5.783
2.158,10.197
2.160,0.877
2.165,0.000
2.175,7.240
2.180,4.391
2.188,4.470
2.190,0.000
2.195,3.023
2.200,9.180
2.205,10.632
2.213,3.307
2.215,0.000
2.218,3.578
2.220,5.386
2.223,3.141
2.233,0.000
2.238,5.295
2.240,0.417
2.243,0.640
2.250,5.263
2.255,6.176
2.263,0.000
2.268,0.326
2.273,0.000
2.275,0.000
2.283,2.973
2.285,3.628
2.300,5.319
2.303,1.741
2.305,6.022
2.308,0.511
2.310,3.557
2.320,0.000
2.323,6.652
2.325,5.505
2.333,7.939
2.335,3.129
2.338,3.618
2.340,0.235
2.348,5.741
2.355,8.683
2.358,0.888
2.360,0.889
2.373,3.573
2.378,8.806
2.385,5.195
2.388,0.000
2.393,1.012
2.395,0.000
2.398,5.667
2.405,3.662
2.408,0.216
2.413,2.474
2.423,5.244
2.425,1.485
2.438,5.427
2.440,0.857
2.443,0.345
2.450,0.000
2.455,0.000
2.465,3.792
2.468,0.000
2.473,5.504
2.475,5.612
2.478,2.642
2.483,3.741
2.485,4.193
2.490,1.302
2.495,3.542
2.505,5.857
2.510,0.000
2.513,3.600
2.515,4.261
2.525,0.000
2.528,2.366
2.533,0.000
2.538,6.046
2.548,0.114
2.565,7.426
2.568,11.310
2.575,7.930
2.583,0.000
2.585,0.000
2.588,4.179
2.593,7.657
2.595,1.427
2.605,0.000
2.608,1.707
2.610,0.000
2.615,2.958
2.620,3.893
2.623,0.224
2.625,1.800
2.633,2.606
2.638,0.000
2.640,0.000
2.648,7.936
2.655,0.000
2.658,0.000
2.660,6.897
2.663,0.000
2.668,1.032
2.670,7.126
2.678,0.000
2.683,2.142
2.685,6.789
2.695,0.000
2.700,0.000
2.703,5.987
2.705,7.678
2.730,0.000
2.740,4.899
2.748,5.472
2.750,3.132
2.753,0.000
2.760,0.058
2.763,0.147
2.765,5.205
2.770,1.885
2.790,1.469
2.795,0.000
2.798,5.702
2.803,3.992
2.805,0.000
2.808,0.000
2.815,4.244
2.818,5.336
2.820,0.000
2.823,4.725
2.825,12.260
2.828,7.749
2.830,2.943
2.833,4.219
2.843,6.023
2.845,1.318
2.850,7.994
2.853,4.947
2.860,0.000
2.863,1.268
2.865,0.033
2.875,0.603
2.878,6.766
2.885,4.958
2.895,5.591
2.900,3.630
2.910,0.000
2.913,7.161
2.915,2.342
2.920,4.849
2.923,0.000
2.935,6.242
2.940,0.000
2.950,3.868
2.955,0.940
2.958,0.000
2.960,3.716
2.973,2.308
2.980,4.543
